patent_no,title,
9671182,Copper alloy tube for heat exchanger excellent in fracture strength,
9670567,Manufacturing method of making aluminum alloy semi-finished product with improved microporosity,
9670566,White antimicrobial copper alloy,
9669604,Aluminum-alloy plate and joined body as well as automobile member using the same,
9669461,Process for production of sintered copper alloy sliding material and sintered copper alloy sliding material,
9666867,Aluminum alloy foil for electrode collector and production method therefor,
9666325,Copper alloy and method of manufacturing copper alloy,
9664182,Shape memory alloy actuating element with improved fatigue resistance,
9664049,Braze alloy compositions and brazing methods for superalloys,
9663868,Electro-deposited copper-alloy foil and electro-deposited copper-alloy foil provided with carrier foil,
9663848,High heat-resistant aluminium casting alloy and casting for combustion engines cast from such an alloy,
9663847,High thermal conductivity Al--Mg--Fe--Si alloy for die casting,
9663845,Aluminum alloy,
9663844,Sintered alloy superior in wear resistance,
9663651,High-gloss polymethylmethacrylate acrylic copolymer alloy composition and molded article,
9659762,Amalgam balls having an alloy coating,
9657777,Wear resistant lead free alloy bushing and method of making,
9657403,Method for preparing tin-silver alloy plating solution and plating solution prepared by same,
9657402,Cyanide-free electrolyte composition and method for the deposition of silver or silver alloy layers on substrates,
9657377,Aluminum alloy and production method thereof,
9657376,Aluminum alloy and production method thereof,
9657374,Free-machining aluminum alloy extruded material with reduced surface roughness and excellent productivity,
9657373,"Nickel-chromium-aluminum alloy having good processability, creep resistance and corrosion resistance",
9657372,Manufacturing method of aluminum alloy in which Al--Fe--Si compound is refined,
9657367,Method for producing R-Fe-B based permanent magnet alloy recycled material having removed carbon,
9653629,Substrate material of iron-nickel alloy metal foil for CIGS solar cells,
9653191,"Copper alloy for electric and electronic device, copper alloy sheet for electric and electronic device, conductive component for electric and electronic device, and terminal",
9651524,Method of ultrasonic inspection of as-cast titanium alloy articles,
9651158,Shape memory alloy valve,
9650706,"Aluminum alloy wire rod, aluminum alloy stranded wire, coated wire, wire harness and manufacturing method of aluminum alloy wire rod",
9650698,"Nickel-chromium alloy having good processability, creep resistance and corrosion resistance",
9650697,Gray gold alloy free of nickel and copper,
9650696,Method for producing an aluminium alloy foam by moulding,
9649780,Shape memory alloy rock splitters (SMARS),
9649713,Surface treating composition for copper and copper alloy and utilization thereof,
