,patent_no,url,title,issue_date,date,num_patent,num_inventor,num_pc,num_npc,num_rb,num_class,num_le
0,9637179,https://www.google.com/patents/US9637179,Aluminum alloy vehicle structural component defining an out-of-plane aperture,5/2/17,2-May-17,10136,5,22,1,0,13,0
1,9636784,https://www.google.com/patents/US9636784,Mixed alloy solder paste,5/2/17,2-May-17,10135,2,6,2,0,81,0
2,9634324,https://www.google.com/patents/US9634324,Nickel-metal hydride battery and method for producing hydrogen storage alloy,4/25/17,25-Apr-17,10134,3,12,7,0,11,2
3,9634123,https://www.google.com/patents/US9634123,FinFET device including a dielectrically isolated silicon alloy fin,4/25/17,25-Apr-17,10133,1,4,0,0,6,1
4,9631879,https://www.google.com/patents/US9631879,Aluminum alloy for extrusion and drawing processes,4/25/17,25-Apr-17,10132,1,45,5,0,7,1
5,9631878,https://www.google.com/patents/US9631878,Process for producing aluminum alloy tube having sacrificial anticorrosion layer and joining layer,4/25/17,25-Apr-17,10131,1,9,1,0,32,1
6,9631268,https://www.google.com/patents/US9631268,Methods and systems for shape memory alloy structures,4/25/17,25-Apr-17,10130,3,20,3,0,12,1
7,9631261,https://www.google.com/patents/US9631261,Low-cost alpha-beta titanium alloy with good ballistic and mechanical properties,4/25/17,25-Apr-17,10129,1,28,6,0,5,2
8,9631260,https://www.google.com/patents/US9631260,Copper alloy sheets for electrical/electronic part,4/25/17,25-Apr-17,10128,3,30,17,0,15,1
9,9631157,https://www.google.com/patents/US9631157,Cu_‹ÓNi_‹ÓSn alloy overlay for bearing surfaces on oilfield equipment,4/25/17,25-Apr-17,10127,2,21,14,0,34,2
10,9630834,https://www.google.com/patents/US9630834,Wafer scale monolithic CMOS-integration of free- and non-free-standing Metal- and Metal alloy-based MEMS structures in a sealed cavity,4/25/17,25-Apr-17,10126,2,16,0,0,5,1
11,9630251,https://www.google.com/patents/US9630251,Titanium alloy,4/25/17,25-Apr-17,10125,2,208,19,0,14,1
12,9630161,https://www.google.com/patents/US9630161,Metal alloy nanoparticle synthesis via self-assembled monolayer formation and ultrasound,4/25/17,25-Apr-17,10124,2,5,40,0,12,2
